question,summary
"THEME: Acute Constipation MESSAGE: Sir, 1. I want to know if severe constipation/not bowel cleansing is also related to diabetes in the elderly. 2. Ask if you can provide any medical documents associated with my consultation.",Does diabetes affect bowel movements? 
"The high thyroid level (31.13) interferes with recovery I just had double knee replacement on 15/01/2014. I take Levothyroxin 137mg dailey for my thyroid condition. I don't take any other medications on a regular basis except the normal pain medications prescribed during my recovery. During my recovery, I never felt comfortable and pain-free. Finally I asked for a blood test and discovered my TSH level at 31.13. My question is, does a high level of TSH interfere with the healing and recovery of muscle tissue and bones? Now I am taking a higher dose of Levthyroxin, can I expect a longer than normal recovery period due to a high level of TSH? Thank you, [NAME]",Can high TSH levels or Levothyroxine impact muscle tissue recovery?
"I was trying to get more information about the pain associated with polycythemia Vera and the medications that are commonly used to treat pain in polycythemia vera. Thank you, [NAME]",What treatments are available for  pain associated with Polycythemia Vera?
THEME: ClinicalTrials.gov - Question - general information MESSAGE: I am the mother of a 13-year-old girl who has been diagnosed with endometris. I know it is not well spelled. The doctor said it was serious and rare for children of her age. she was 12 years old when she was diagnosed is there anything that happens for her age? she has not had any treatment and hurts constantly.,What are the treatments for severe endometriosis in adolescents?
"THEME: ClinicalTrials.gov - Question - general information MESSAGE: My question is: what is the reason why there is very little attention is to Antiphosoholipid Syndrome? To find the causes and possibly some kind of cure for us who struggle with this autoimmune blood disorder? I guess since it is female directed (9-1 female to male) that no one important enough has died of APS? Oh, by the way, I am a 58-year-old man!",What causes antiphospholipid syndrome and what are the treatments for it? 
"TEMA: Taking medication options MESSAGE: If my doctor prescribes 40 mg of Inderal twice a day, the pharmacist says to take 80 mg of release once a day. Is it appropriate to follow pharmacists' instructions instead of prescription 40 mg twice a day.",Is Inderal 40 mg  twice a day equivalent to 80mg time release once a day?
THEME: ClinicalTrials.gov - Question - General Information MESSAGE: Dalfampridine will be effective for people with spinal musclar atrophy. Is this a possibility in the future,Is dalfampridine an effective treatment for spinal muscular atrophy?
"THEME: PROGRESSIVE Supernuclear Paralysis MESSAGE: What is the best thing to do for my dad that r sure has psp! Who r the best dr to treat this cessation. We believe my uncle also had pep He passed away recently, I want to give my dad the best treatment available",What are the treatments for progressive supranuclear palsy and how can I find physician(s) who specialize in it?
"Subject: Parkinson's Treatment MESSAGE: I'm having Parkinson's for the last 8 years. So far it was just a few, shaking my right hand. Now it's on the rise. I'm 84 years old, and having skin problems. I'm afraid to increase the dose, as it seems to affect Skin problem.",What are the latest treatments for Parkinsons disease?
"THEME: MESSAGE OF SISTERS: I am recovering from shingles. I am taking antiviral drugs. This is my second week with shingles. I have not experienced any drainers with my sores that are currently on the right side of my face near my right eyebrow. My question is this: My husband is going to be operated on tomorrow, can I go to the hospital with my husband?",When is shingles contagious?
"THEME: Language problem MESSAGE: I can speak every thing that I have a wrong word like r,n can't speak.This is my problem.Every person tells me..please give me a suggestion..",What are the treatments for speech disorders?
"THEME: pituitary gland/high level of vitamin D MESSAGE: My sister has a high level of vitamin D in her system/blood work. Her specialist can't find the cause. Would there be any connection to her pituitary? Had her thyroid gland removed 3 years ago, and breast/cancer cancer removed and there was radiation/cured 2 years ago.",What are the causes of high vitamin D levels?
"THEME: chickenpox shingles MESSAGE: How can I determine whether or not I have had chickenpox? If there is a test for it, what are the results of the tests I need to know that will tell me whether or not I have had chickenpox? I want to know this to determine if I should have herpes zoster vaccine (Zostavax) Thank you.",How do i find out if i had chickenpox?
erection problems. how to get rid of erections?,What are the treatments for erection problems?
"Good morning, I would like to ask you guys something. I have a big bloating problem and now your 2 years I have this problem and try to buy some medicines but it doesn’t help me. And this thing is your worst special during the night when I’m sleeping because I’m always taking out the olfactory air special when I’m sleeping please guys can help me and I feel incorrigible. Because it’s worse. I’m going to appreciate it for your help. [NAME] [cid:image001.png@01D08E1E.47E509A0] Tel: [Contact] Fax: [Contact] Mobile [Contact] Email: [Contact]> [Contact] [Contact] [Contact] In the interest of the environment-think before printing! _______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________",What are the treatments for bloating and flatulence at night?
"SUBJECT: MESSAGE OF Bendectin: In 1964, I began to take Bendectin for morning sickness and with each subsequent pregnancy I continued to do so. My third son developed a meningioma of the brain at 11 years of age and currently, my daughter, 47, has been diagnosed with a brain injury (?). I am justifiably concerned about my daughter’s condition and wonder if I contributed to her status. I am only interested in helping her and not for any reason litigating. If someone also had a similar situation and was treated positively, I would appreciate much knowing. Thank you and God bless.",What birth defects are associated with taking bendectin during pregnancy and are there any treatments?
"THEME: MESSAGE Pyloric Stenosis: Good morning, I had pyloric when I was a baby - now I am 44 years old.I have always suffered from stomach problems, dripped intestine, etc. Is it possible that this is a long-term pyloric related cause? I was the first girl to have this operation in [LOCATION] in [DATE].",What is the long-term prognosis and complications of pyloric stenosis?
THEME: Is there a risk for an older person to fly with a cracked or bruised tail bone? Thank you in advance,Can I fly with a tailbone injury?
THEME: Looking for comparison FloraQ/RisaQuad MENSAGE: My MD instructed FloraQ. Amazon announces RisaQuad as comparable. Your site has never heard of RisaQuad. Amazon ad does not tell you much. I have checked several pharmacies and I cannot find flora q in stock Can you help,What are the differences between Flora Q and RisaQuad?
"THEME: Antibiotic administration IV MESSAGE: Can you administer antibiotics intravenously to treat a refractory sinus infection to a patient who cannot tolerate oral antibiotics? If you do not, do you know of any facility in the Washington DC area that can do so?","Where can I find information on IV antibiotics for refractory sinus infection, and how can I find hospital(s) in Washington DC who specialize in it?"
genetic beriberi. Is it true that wet and dry beriberi usually occur in the same patient?,Can wet beriberi and dry beriberi occur in the same person?
"THEME: Is there any information about increased smell sensitivity? I have difficulty smelling fragrances and chemicals, especially cleaning chemicals. Sometimes I have distorted odors or odors that are not there. It started over 6 years ago with a strange smell in my nose for days.",Where can I find information about heighted or distorted sense of smell? 
THEME: Gluten-free methotrexate? MESSAGE: Is the form of gluten-free methotrexate injection? Thank you -,Is the injection form of methotrexate gluten free?
"THEME: MESSAGE OF Vasectomy: In the text that says that it is very rare that vas deferens can grow again and my partner pregnant ... So it is possible? ... It is that my partner became pregnant, I have vasectomy 16 years .. [CONTACT] thank you",What is the late failure rate of vasectomy?
"THEME: list of questions MESSAGE: I have a list of questions about Tay Sachs disease and stick foot 1. What is TSD / stick foot, and how does it affect a baby 2. What causes both? can you prevent, treat or cure? 3. How common is TSD? How common is Stickfoot 4. How can your &quot;agency&quot; help a woman/partner who are concerned about this congenital condition, and there is a cost? If you can answer these few questions you would be grateful for, please come back as soon as you can.","Where can I find information on tay sachs disease and clubfoot, including prevalence, causes, prevention, treatments, and tratment costs?"
"THEME: Nulytely MESSAGE: Hello you can tell me where to order nulytely who is manufacturing, what phone number I can call.Thank you.","Who makes nulytely, and where can I buy it?"
"SUBJECT: Uncontrollable shaking movements MESSAGE: When I am exercising hard, the left side of my body will begin to do strange things. As I lift up weights, my upper left lift will move upwards in a kind of sneeze. When I do the core work, my left arm will begin to shake so hard that it is impossible to hold on to anything. The shaking stops after the exercise ends; but my left arm feels worn out. There is no pain. A few months ago, my left leg completely lost strength for weeks. It appeared for the first time when I was trying to make a squat with a plastic pipe in my hand. Eventually I was able to work the force back. Again - there is no pain. Should I be alarmed?",What causes jerking movements during exercise?
